city,city_ascii,province_id,province_name,lat,lng,population,density,timezone,ranking,postal,id
Smiths Falls,Smiths Falls,ON,Ontario,44.9,-76.0167,9517.0,909.1,America/Toronto,3,K7A,1124233827
Lorraine,Lorraine,QC,Quebec,45.6833,-73.7833,9502.0,1609.9,America/Toronto,3,J6Z,1124001859
Ramara,Ramara,ON,Ontario,44.6333,-79.2167,9488.0,22.7,America/Toronto,3,L0K L3V,1124000641
Notre-Dame-des-Prairies,Notre-Dame-des-Prairies,QC,Quebec,46.05,-73.4333,9471.0,523.2,America/Toronto,3,J6E,1124001393
Leeds and the Thousand Islands,Leeds and the Thousand Islands,ON,Ontario,44.45,-76.08,9465.0,15.1,America/Toronto,3,K7G K0E,1124000531
Brockton,Brockton,ON,Ontario,44.1667,-81.2167,9461.0,16.7,America/Toronto,3,N0G,1124000713
Laurentian Valley,Laurentian Valley,ON,Ontario,45.7681,-77.2239,9450.0,17.5,America/Toronto,3,K8A K8B,1124000736
Mono,Mono,ON,Ontario,44.0167,-80.0667,9421.0,33.8,America/Toronto,3,L9V L9W,1124001904
Sainte-Julienne,Sainte-Julienne,QC,Quebec,45.97,-73.72,9331.0,94.0,America/Toronto,3,J0K,1124086540
Qualicum Beach,Qualicum Beach,BC,British Columbia,49.35,-124.4333,9303.0,517.5,America/Vancouver,3,V9K,1124822520
Malahide,Malahide,ON,Ontario,42.7928,-80.9361,9292.0,23.5,America/Toronto,3,N5H N0L,1124001777
Oromocto,Oromocto,NB,New Brunswick,45.8488,-66.4788,9223.0,411.0,America/Moncton,3,E2V,1124928183
Whitecourt,Whitecourt,AB,Alberta,54.1417,-115.6833,9195.0,386.0,America/Edmonton,3,T7S,1124641551
Olds,Olds,AB,Alberta,51.7928,-114.1067,9184.0,615.3,America/Edmonton,3,T4H,1124330412
Huron East,Huron East,ON,Ontario,43.63,-81.28,9138.0,13.8,America/Toronto,3,N4W N0M N0K N0G,1124000724
Beckwith,Beckwith,ON,Ontario,45.0833,-76.0667,9021.0,37.7,America/Toronto,3,K7A K7C K0A,1124000163
Labrador City,Labrador City,NL,Newfoundland and Labrador,52.95,-66.9167,9011.0,186.0,America/Goose_Bay,3,A2V,1124000773
Shelburne,Shelburne,ON,Ontario,44.0833,-80.2,8989.0,907.1,America/Toronto,3,L9V,1124470888
Stanley,Stanley,MB,Manitoba,49.1331,-98.0656,8981.0,10.8,America/Winnipeg,3,R6M R6W,1124001503
Taber,Taber,AB,Alberta,49.7847,-112.1508,8978.0,537.9,America/Edmonton,3,T1G,1124113583
Donnacona,Donnacona,QC,Quebec,46.6747,-71.7294,8952.0,357.6,America/Toronto,3,G3M,1124002794
Corman Park No. 344,Corman Park No. 344,SK,Saskatchewan,52.2291,-106.8002,8909.0,4.7,America/Regina,4,S0K S7K S7P S7T,1124000077
L’Epiphanie,L'Epiphanie,QC,Quebec,45.8482664184978,-73.506054079174,8883.0,157.0,America/Toronto,3,J5X,1124599436
West Perth,West Perth,ON,Ontario,43.47,-81.2,8865.0,15.3,America/Toronto,3,N0K,1124001056
Campbellton,Campbellton,NB,New Brunswick,48.005,-66.6731,8833.0,379.5,America/Toronto,3,E3N,1124336512
Bridgewater,Bridgewater,NS,Nova Scotia,44.37,-64.52,8790.0,625.9,America/Halifax,3,B4V,1124736310
Coaldale,Coaldale,AB,Alberta,49.7333,-112.6167,8771.0,645.9,America/Edmonton,3,T1M,1124989507
Pont-Rouge,Pont-Rouge,QC,Quebec,46.75,-71.7,8723.0,72.0,America/Toronto,3,G3H,1124608325
Champlain,Champlain,ON,Ontario,45.5333,-74.65,8706.0,42.0,America/Toronto,3,K6A K0B,1124000537
Coaticook,Coaticook,QC,Quebec,45.1333,-71.8,8698.0,39.6,America/Toronto,3,J1A,1124454176
Minto,Minto,ON,Ontario,43.9167,-80.8667,8671.0,28.8,America/Toronto,3,N0G,1124000198
La Pêche,La Peche,QC,Quebec,45.6833,-75.9833,8636.0,15.0,America/Toronto,3,J0X,1124001249
Shediac,Shediac,NB,New Brunswick,46.2167,-64.5333,8563.0,123.5,America/Moncton,3,E4P,1124770042
Otterburn Park,Otterburn Park,QC,Quebec,45.5333,-73.2167,8479.0,1578.2,America/Toronto,3,J3H,1124899409
Sainte-Brigitte-de-Laval,Sainte-Brigitte-de-Laval,QC,Quebec,47.0,-71.2,8468.0,78.1,America/Toronto,3,G0A,1124647754
Sainte-Catherine-de-la-Jacques-Cartier,Sainte-Catherine-de-la-Jacques-Cartier,QC,Quebec,46.85,-71.6167,8442.0,69.9,America/Toronto,3,G3N,1124001417
South Bruce Peninsula,South Bruce Peninsula,ON,Ontario,44.7333,-81.2,8416.0,15.8,America/Toronto,3,N0H,1124000114
Portugal Cove-St. Philip's,Portugal Cove-St. Philip's,NL,Newfoundland and Labrador,47.6272,-52.8506,8415.0,146.1,America/St_Johns,3,A1M,1124001559
Edson,Edson,AB,Alberta,53.5817,-116.4344,8414.0,283.1,America/Edmonton,3,T7E,1124553562
Renfrew,Renfrew,ON,Ontario,45.4717,-76.6831,8337.0,643.4,America/Toronto,3,K7V,1124652971
Farnham,Farnham,QC,Quebec,45.2833,-72.9833,8330.0,90.5,America/Toronto,3,J2N,1124553013
Delson,Delson,QC,Quebec,45.37,-73.55,8328.0,1089.6,America/Toronto,3,J5B,1124405717
Plympton-Wyoming,Plympton-Wyoming,ON,Ontario,43.0167,-82.0833,8308.0,26.1,America/Toronto,3,N0N,1124001273
Banff,Banff,AB,Alberta,51.1781,-115.5719,8305.0,1646.0,America/Edmonton,3,T1L,1124351648
Kapuskasing,Kapuskasing,ON,Ontario,49.4167,-82.4333,8292.0,98.3,America/Toronto,3,P5N,1124764245
La Malbaie,La Malbaie,QC,Quebec,47.65,-70.15,8271.0,18.0,America/Toronto,3,G5A,1124466004
Boischatel,Boischatel,QC,Quebec,46.9,-71.15,8231.0,404.3,America/Toronto,3,G0A,1124332563
Beauport,Beauport,QC,Quebec,46.9667,-71.3,8164.0,132.2,America/Toronto,3,G3B,1124715267
Zorra,Zorra,ON,Ontario,43.15,-80.95,8138.0,15.4,America/Toronto,3,N5C N0M N0J,1124000608
Kitimat,Kitimat,BC,British Columbia,54.0,-128.7,8131.0,34.7,America/Vancouver,3,V8C,1124198272
Macdonald,Macdonald,MB,Manitoba,49.6725,-97.4472,8120.0,7.0,America/Winnipeg,3,R4G R0G,1124000633
Happy Valley,Happy Valley,NL,Newfoundland and Labrador,53.3396,-60.4467,8109.0,26.5,America/Goose_Bay,4,A0P,1124879731
Saint-Hippolyte,Saint-Hippolyte,QC,Quebec,45.93,-74.02,8083.0,67.0,America/Toronto,3,J8A,1124001758
Dauphin,Dauphin,MB,Manitoba,51.1992,-100.0633,8034.0,670.7,America/Winnipeg,3,R7N,1124144510
Church Point,Church Point,NS,Nova Scotia,44.3333,-66.1167,8018.0,9.4,America/Halifax,3,B0W,1124316445
Old Chelsea,Old Chelsea,QC,Quebec,45.5,-75.7833,8000.0,71.0,America/Toronto,3,J9B,1124835028
Drumheller,Drumheller,AB,Alberta,51.4636,-112.7194,7982.0,73.9,America/Edmonton,3,T0J,1124745292
Kirkland Lake,Kirkland Lake,ON,Ontario,48.15,-80.0333,7981.0,30.4,America/Toronto,3,P0K P2N,1124683504
Aylmer,Aylmer,ON,Ontario,42.7667,-80.9833,7975.0,1197.6,America/Toronto,3,N5H,1124964102
Saint-Apollinaire,Saint-Apollinaire,QC,Quebec,46.6167,-71.5167,7968.0,82.3,America/Toronto,3,G0S,1124951601
Puslinch,Puslinch,ON,Ontario,43.45,-80.1667,7944.0,37.0,America/Toronto,3,N3C N0B N1H,1124129947
Argyle,Argyle,NS,Nova Scotia,43.8,-65.85,7899.0,5.2,America/Halifax,3,B0W,1124503052
Torbay,Torbay,NL,Newfoundland and Labrador,47.65,-52.7333,7852.0,225.0,America/St_Johns,3,A1K,1124406642
Yarmouth,Yarmouth,NS,Nova Scotia,43.8361,-66.1175,7848.0,616.9,America/Halifax,3,B5A,1124983867
Innisfail,Innisfail,AB,Alberta,52.0333,-113.95,7847.0,404.6,America/Edmonton,3,T4G,1124612670
Nicolet,Nicolet,QC,Quebec,46.2167,-72.6167,7828.0,81.5,America/Toronto,3,J3T,1124746363
Rockwood,Rockwood,MB,Manitoba,50.2856,-97.2869,7823.0,6.5,America/Winnipeg,3,R0C,1124000435
Drummond/North Elmsley,Drummond/North Elmsley,ON,Ontario,44.9667,-76.2,7773.0,21.2,America/Toronto,3,K7A K7C K7H K0G,1124001787
Contrecoeur,Contrecoeur,QC,Quebec,45.85,-73.2333,7768.0,102.2,America/Toronto,3,J0L,1124384220
Hanover,Hanover,ON,Ontario,44.15,-81.0333,7761.0,763.8,America/Toronto,3,N4N,1124868817
Dryden,Dryden,ON,Ontario,49.7833,-92.8333,7749.0,117.1,America/Winnipeg,3,P8N,1124295097
Iqaluit,Iqaluit,NU,Nunavut,63.7598,-68.5107,7740.0,147.4,America/Iqaluit,4,X0A,1124379539
Fort Frances,Fort Frances,ON,Ontario,48.6167,-93.4,7739.0,303.4,America/Winnipeg,3,P9A,1124939714
Goderich,Goderich,ON,Ontario,43.7333,-81.7,7728.0,882.8,America/Toronto,3,N7A,1124989247
La Sarre,La Sarre,QC,Quebec,48.8,-79.2,7719.0,51.9,America/Toronto,3,J9Z,1124902252
Chandler,Chandler,QC,Quebec,48.35,-64.6833,7703.0,18.4,America/Toronto,3,G0C,1124111932
Stone Mills,Stone Mills,ON,Ontario,44.45,-76.9167,7702.0,10.9,America/Toronto,3,K0K,1124000075
South-West Oxford,South-West Oxford,ON,Ontario,42.95,-80.8,7664.0,20.7,America/Toronto,3,N4S N4G N5C N0L N0J,1124000210
Acton Vale,Acton Vale,QC,Quebec,45.65,-72.5667,7664.0,84.2,America/Toronto,3,J0H,1124864792
Douro-Dummer,Douro-Dummer,ON,Ontario,44.45,-78.1,7632.0,16.6,America/Toronto,3,K9J K0L,1124001679
Saint-Philippe,Saint-Philippe,QC,Quebec,45.35,-73.47,7597.0,122.6,America/Toronto,3,J0L,1124461923
McNab/Braeside,McNab/Braeside,ON,Ontario,45.45,-76.5,7591.0,29.7,America/Toronto,3,K7S K7V K0A,1124001458
Central Huron,Central Huron,ON,Ontario,43.63,-81.57,7576.0,16.9,America/Toronto,3,N0M N7A,1124001983
Rigaud,Rigaud,QC,Quebec,45.4833,-74.3,7566.0,74.1,America/Toronto,3,J0P,1124176101
Louiseville,Louiseville,QC,Quebec,46.25,-72.95,7517.0,120.1,America/Toronto,3,J5V,1124866425
Chibougamau,Chibougamau,QC,Quebec,49.9167,-74.3667,7504.0,10.7,America/Toronto,3,G8P,1124650514
Coteau-du-Lac,Coteau-du-Lac,QC,Quebec,45.3,-74.18,7473.0,159.4,America/Toronto,3,J0P,1124000308
Ritchot,Ritchot,MB,Manitoba,49.6647,-97.1167,7469.0,22.5,America/Winnipeg,3,R5A R0A R0G,1124001990
Kimberley,Kimberley,BC,British Columbia,49.6697,-115.9775,7425.0,122.5,America/Edmonton,3,V1A,1124170837
Blandford-Blenheim,Blandford-Blenheim,ON,Ontario,43.2333,-80.6,7399.0,19.4,America/Toronto,3,N0J,1124001001
Bayham,Bayham,ON,Ontario,42.7333,-80.7833,7396.0,30.2,America/Toronto,3,N5H N0J,1124000461
Augusta,Augusta,ON,Ontario,44.7511,-75.6003,7353.0,23.4,America/Toronto,3,K6V K0E K0G,1124000619
Stephenville,Stephenville,NL,Newfoundland and Labrador,48.55,-58.5667,7344.0,185.6,America/St_Johns,3,A2N,1124000201
The Pas,The Pas,MB,Manitoba,53.825,-101.2533,7302.0,115.3,America/Winnipeg,3,R9A R0B,1124755168
St. Marys,St. Marys,ON,Ontario,43.2583,-81.1333,7271.0,583.5,America/Toronto,3,N4X,1124438866
Saint-Rémi,Saint-Remi,QC,Quebec,45.2667,-73.6167,7265.0,92.2,America/Toronto,3,J0L,1124638080
Drayton Valley,Drayton Valley,AB,Alberta,53.2222,-114.9769,7235.0,235.5,America/Edmonton,3,T7A,1124814220
Ponoka,Ponoka,AB,Alberta,52.6833,-113.5667,7229.0,417.1,America/Edmonton,3,T4J,1124308190
Southgate,Southgate,ON,Ontario,44.1,-80.5833,7190.0,11.4,America/Toronto,3,N0G N0C,1124000656
Les Cèdres,Les Cedres,QC,Quebec,45.3,-74.05,7184.0,92.5,America/Toronto,3,J7T,1124051098
Baie-Saint-Paul,Baie-Saint-Paul,QC,Quebec,47.45,-70.5,7146.0,13.1,America/Toronto,3,G3Z,1124415452
Merritt,Merritt,BC,British Columbia,50.1128,-120.7897,7139.0,273.9,America/Vancouver,3,V1K,1124550302
Bluewater,Bluewater,ON,Ontario,43.45,-81.6,7136.0,17.1,America/Toronto,3,N0M,1124000066
East Zorra-Tavistock,East Zorra-Tavistock,ON,Ontario,43.2333,-80.7833,7129.0,29.4,America/Toronto,3,N4S N0J N0B,1124000189
Brownsburg,Brownsburg,QC,Quebec,45.6703,-74.4467,7122.0,28.8,America/Toronto,4,J8G,1124023263
Asbestos,Asbestos,QC,Quebec,45.7667,-71.9333,7096.0,239.1,America/Toronto,3,J1T,1124583779
Otonabee-South Monaghan,Otonabee-South Monaghan,ON,Ontario,44.2333,-78.2333,7087.0,20.5,America/Toronto,3,K9J K0L,1124000517
Huron-Kinloss,Huron-Kinloss,ON,Ontario,44.05,-81.5333,7069.0,16.0,America/Toronto,3,N2Z N0G,1124000614
Hampstead,Hampstead,QC,Quebec,45.4833,-73.6333,7037.0,3922.1,America/Toronto,2,H3X,1124000763
Saint-Joseph-du-Lac,Saint-Joseph-du-Lac,QC,Quebec,45.5333,-74.0,7031.0,170.6,America/Toronto,3,J0N,1124001195
Plessisville,Plessisville,QC,Quebec,46.2167,-71.7833,7028.0,1546.0,America/Toronto,3,G6L,1124223899
The Blue Mountains,The Blue Mountains,ON,Ontario,44.4833,-80.3833,7025.0,24.5,America/Toronto,3,L9Y N0H,1124000370
Whitewater Region,Whitewater Region,ON,Ontario,45.7167,-76.8333,7009.0,13.0,America/Toronto,3,K0J,1124001363
Edwardsburgh/Cardinal,Edwardsburgh/Cardinal,ON,Ontario,44.8333,-75.5,6959.0,22.3,America/Toronto,3,K0E,1124001736
Sainte-Anne-des-Monts,Sainte-Anne-des-Monts,QC,Quebec,49.1333,-66.5,6933.0,26.3,America/Toronto,3,G4V,1124183859
Bay Roberts,Bay Roberts,NL,Newfoundland and Labrador,47.5847,-53.2783,6897.0,249.9,America/St_Johns,3,A0A,1124372298
Wainfleet,Wainfleet,ON,Ontario,42.925,-79.375,6887.0,31.7,America/Toronto,3,L0S L0R L3B L3K,1124538125
North Stormont,North Stormont,ON,Ontario,45.2167,-75.0,6873.0,13.3,America/Toronto,3,K0A K0C,1124000261
Alnwick/Haldimand,Alnwick/Haldimand,ON,Ontario,44.0833,-78.0333,6869.0,17.25,America/Toronto,3,K9A K0K,1124000698
Peace River,Peace River,AB,Alberta,56.2339,-117.2897,6842.0,260.6,America/Edmonton,3,T8S,1124941936
Saint-Lambert-de-Lauzon,Saint-Lambert-de-Lauzon,QC,Quebec,46.5865,-71.2271,6817.0,63.9,America/Toronto,4,G0S,1124610423
Arran-Elderslie,Arran-Elderslie,ON,Ontario,44.4,-81.2,6803.0,14.8,America/Toronto,3,N0H N0G,1124001766
Parry Sound,Parry Sound,ON,Ontario,45.3333,-80.0333,6788.0,478.2,America/Toronto,3,P2A,1124245809
Val-Shefford,Val-Shefford,QC,Quebec,45.35,-72.5667,6711.0,56.7,America/Toronto,3,J2M,1124787548
West St. Paul,West St. Paul,MB,Manitoba,50.0119,-97.115,6682.0,76.4,America/Winnipeg,3,R4A R2V,1124001136
Slave Lake,Slave Lake,AB,Alberta,55.2853,-114.7706,6651.0,460.5,America/Edmonton,3,T0G,1124106662
Port-Cartier,Port-Cartier,QC,Quebec,50.0333,-66.8667,6651.0,6.0,America/Toronto,3,G5B G0H,1124795368
Barrington,Barrington,NS,Nova Scotia,43.5646,-65.5639,6646.0,10.5,America/Halifax,3,B0W,1124548310
Rocky Mountain House,Rocky Mountain House,AB,Alberta,52.3753,-114.9217,6635.0,521.8,America/Edmonton,3,T4T,1124203206
Muskoka Falls,Muskoka Falls,ON,Ontario,45.1264,-79.558,6588.0,8.3,America/Toronto,4,P0C P0B P1L P1P,1124955753
Cornwall,Cornwall,PE,Prince Edward Island,46.2407,-63.2009,6574.0,233.0,America/Halifax,3,C0A,1124001245
Saint-Paul,Saint-Paul,QC,Quebec,45.9833,-73.45,6566.0,133.7,America/Toronto,3,J0K,1124001817
Devon,Devon,AB,Alberta,53.3633,-113.7322,6545.0,459.1,America/Edmonton,3,T9G,1124268366
Perth,Perth,ON,Ontario,44.9,-76.25,6486.0,484.1,America/Toronto,3,K7H,1124732094
Wainwright,Wainwright,AB,Alberta,52.8333,-110.8667,6461.0,688.7,America/Edmonton,3,T9W,1124385336
Shannon,Shannon,QC,Quebec,46.8833,-71.5167,6432.0,101.2,America/Toronto,3,G3S,1124440867
Saint-Honoré,Saint-Honore,QC,Quebec,48.5333,-71.0833,6376.0,33.7,America/Toronto,4,G0V,1124504668
Beaubassin East / Beaubassin-est,Beaubassin East / Beaubassin-est,NB,New Brunswick,46.1726,-64.3122,6376.0,21.9,America/Moncton,3,E4P E4N,1124000427
Bonnyville,Bonnyville,AB,Alberta,54.2667,-110.75,6359.0,421.4,America/Edmonton,3,T9N,1124166469
Cramahe,Cramahe,ON,Ontario,44.0833,-77.8833,6355.0,31.4,America/Toronto,3,K0K,1124000879
Beauceville,Beauceville,QC,Quebec,46.2,-70.7833,6354.0,37.9,America/Toronto,3,G5X,1124575286
North Middlesex,North Middlesex,ON,Ontario,43.15,-81.6333,6352.0,10.6,America/Toronto,3,N0M,1124001914
Beaupré,Beaupre,QC,Quebec,47.05,-70.9,6342.0,163.4,America/Toronto,3,G0A,1124125524
Charlemagne,Charlemagne,QC,Quebec,45.7167,-73.4833,6302.0,2906.2,America/Toronto,2,J5Z,1124185024
Kent,Kent,BC,British Columbia,49.2833,-121.75,6300.0,37.4,America/Vancouver,3,V0M,1124001999
Clarenville,Clarenville,NL,Newfoundland and Labrador,48.1566,-53.965,6291.0,44.7,America/St_Johns,3,A5A,1124924217
Mont-Joli,Mont-Joli,QC,Quebec,48.58,-68.18,6281.0,272.6,America/Toronto,3,G5H,1124642037
Pointe-Calumet,Pointe-Calumet,QC,Quebec,45.5,-73.97,6281.0,1367.7,America/Toronto,3,J0N,1124629762
Dysart et al,Dysart et al,ON,Ontario,45.2042,-78.4047,6280.0,4.2,America/Toronto,4,K0L K0M,1124000824
Carbonear,Carbonear,NL,Newfoundland and Labrador,47.7375,-53.2294,6235.0,411.5,America/St_Johns,3,A1Y,1124121214
Hope,Hope,BC,British Columbia,49.3858,-121.4419,6181.0,151.0,America/Vancouver,3,V0X,1124662863
Pontiac,Pontiac,QC,Quebec,45.5833,-76.1333,6142.0,13.8,America/Toronto,3,J0X,1124000248
L'Ange-Gardien,L'Ange-Gardien,QC,Quebec,45.5833,-75.45,6102.0,28.2,America/Toronto,3,J8L,1124001197
Hindon Hill,Hindon Hill,ON,Ontario,44.9333,-78.7333,6088.0,6.9,America/Toronto,3,K0M,1124076260
La Broquerie,La Broquerie,MB,Manitoba,49.3994,-96.5103,6076.0,10.5,America/Winnipeg,3,R0A,1124000582
Tweed,Tweed,ON,Ontario,44.6,-77.3333,6044.0,6.3,America/Toronto,3,K0K,1124220211
Oliver Paipoonge,Oliver Paipoonge,ON,Ontario,48.39,-89.52,6035.0,17.2,America/Toronto,3,P0T P7G P7J P7K,1124000729
Saint-Félix-de-Valois,Saint-Felix-de-Valois,QC,Quebec,46.17,-73.43,6029.0,68.6,America/Toronto,3,J0K,1124578689
Melfort,Melfort,SK,Saskatchewan,52.8564,-104.61,5992.0,405.4,America/Regina,3,S0E,1124817334
Stettler,Stettler,AB,Alberta,52.3236,-112.7192,5952.0,453.0,America/Edmonton,3,T0C,1124010388
Niverville,Niverville,MB,Manitoba,49.6056,-97.0417,5947.0,683.7,America/Winnipeg,3,R0A,1124001529
McMasterville,McMasterville,QC,Quebec,45.55,-73.2333,5936.0,1904.0,America/Toronto,3,J3G,1124000115
Douglas,Douglas,NB,New Brunswick,46.2819,-66.942,5935.0,4.1,America/Moncton,4,E6L E6B E3G,1124000768
Saint-Calixte,Saint-Calixte,QC,Quebec,45.95,-73.85,5934.0,41.4,America/Toronto,3,J0K,1124001462
Lac-Mégantic,Lac-Megantic,QC,Quebec,45.5833,-70.8833,5932.0,272.5,America/Toronto,3,G6B,1124329615
Humboldt,Humboldt,SK,Saskatchewan,52.2019,-105.1231,5869.0,1783.4,America/Regina,3,S0K,1124147660
St. Paul,St. Paul,AB,Alberta,53.9928,-111.2972,5827.0,674.2,America/Edmonton,3,T0A,1124528022
Saint-Henri,Saint-Henri,QC,Quebec,46.7,-71.0667,5813.0,47.4,America/Toronto,4,G0R,1124057702
Peachland,Peachland,BC,British Columbia,49.7736,-119.7369,5789.0,359.6,America/Vancouver,3,V0H,1124440160
Verchères,Vercheres,QC,Quebec,45.7833,-73.35,5759.0,79.3,America/Toronto,3,J0L,1124549666
Richelieu,Richelieu,QC,Quebec,45.45,-73.25,5742.0,185.4,America/Toronto,3,J3L,1124000387
Petrolia,Petrolia,ON,Ontario,42.8833,-82.1417,5742.0,452.8,America/Toronto,3,N0N,1124479624
Southwest Middlesex,Southwest Middlesex,ON,Ontario,42.75,-81.7,5723.0,13.4,America/Toronto,3,N0L,1124000520
Front of Yonge,Front of Yonge,ON,Ontario,44.5333,-75.8667,5710.0,20.3,America/Toronto,3,K0E,1124001901
Oliver,Oliver,BC,British Columbia,49.1844,-119.55,5708.0,896.0,America/Vancouver,3,V0H,1124145879
Vegreville,Vegreville,AB,Alberta,53.4928,-112.0522,5708.0,405.4,America/Edmonton,3,T9C,1124534321
Princeville,Princeville,QC,Quebec,46.1667,-71.8833,5693.0,29.3,America/Toronto,4,G6L,1124715340
Saint-Césaire,Saint-Cesaire,QC,Quebec,45.4167,-73.0,5686.0,68.1,America/Toronto,3,J0L,1124948389
Tay Valley,Tay Valley,ON,Ontario,44.8667,-76.3833,5665.0,10.3,America/Toronto,3,K7H K0G K0H,1124000734
South Bruce,South Bruce,ON,Ontario,44.0333,-81.2,5639.0,11.6,America/Toronto,3,N0G,1124001457
Antigonish,Antigonish,NS,Nova Scotia,45.6167,-61.9833,5620.0,871.7,America/Glace_Bay,3,B2G,1124839247
Crowsnest Pass,Crowsnest Pass,AB,Alberta,49.5955,-114.5136,5589.0,15.0,America/Edmonton,4,T0K,1124000595
Redcliff,Redcliff,AB,Alberta,50.0792,-110.7783,5581.0,345.5,America/Edmonton,3,T0J,1124603057
Val-David,Val-David,QC,Quebec,46.03,-74.22,5558.0,130.3,America/Toronto,3,J0T,1124707666
Fernie,Fernie,BC,British Columbia,49.5042,-115.0628,5519.0,388.8,America/Edmonton,3,V0B,1124927114
Windsor,Windsor,NS,Nova Scotia,44.9803,-64.1292,5514.0,400.6,America/Halifax,3,,1124800737
Notre-Dame-du-Mont-Carmel,Notre-Dame-du-Mont-Carmel,QC,Quebec,46.4833,-72.65,5467.0,42.6,America/Toronto,3,G0X,1124893320
Sainte-Martine,Sainte-Martine,QC,Quebec,45.25,-73.8,5461.0,86.4,America/Toronto,3,J0S,1124000017
Creston,Creston,BC,British Columbia,49.09,-116.51,5459.0,626.8,America/Creston,3,V0B,1124204302
Saint-Roch-de-l'Achigan,Saint-Roch-de-l'Achigan,QC,Quebec,45.85,-73.6,5453.0,68.1,America/Toronto,3,J0K,1124000365
Sussex,Sussex,NB,New Brunswick,45.7167,-65.5167,5447.0,478.3,America/Moncton,3,E5P E4E,1124362993
Saint-Pie,Saint-Pie,QC,Quebec,45.5,-72.9,5438.0,49.9,America/Toronto,3,J0H,1124508787
Ashfield-Colborne-Wawanosh,Ashfield-Colborne-Wawanosh,ON,Ontario,43.8667,-81.6,5422.0,9.2,America/Toronto,3,N0M N0G N7A,1124000025
Trent Lakes,Trent Lakes,ON,Ontario,44.6667,-78.4333,5397.0,6.3,America/Toronto,3,K0L K0M,1124001268
Northern Rockies,Northern Rockies,BC,British Columbia,59.0,-123.75,5393.0,0.063,America/Fort_Nelson,3,V0C,1124001362
Gananoque,Gananoque,ON,Ontario,44.33,-76.17,5383.0,733.6,America/Toronto,3,K7G,1124349596
Windsor,Windsor,QC,Quebec,45.5667,-72.0,5367.0,375.5,America/Toronto,3,J1S,1124798166
Smithers,Smithers,BC,British Columbia,54.7819,-127.1681,5351.0,514.9,America/Vancouver,3,V0J,1124191574
Tracadie,Tracadie,NB,New Brunswick,47.5143142815185,-64.918859562748,5349.0,217.0,America/Moncton,3,E1X,1124362021
Meadow Lake,Meadow Lake,SK,Saskatchewan,54.1242,-108.4358,5344.0,433.6,America/Swift_Current,3,S9X,1124434578
Lanark Highlands,Lanark Highlands,ON,Ontario,45.088,-76.517,5338.0,5.1,America/Toronto,3,K0A K0G,1124000887
Sackville,Sackville,NB,New Brunswick,45.9,-64.3667,5331.0,71.9,America/Moncton,3,E4L,1124877244
Grand Falls,Grand Falls,NB,New Brunswick,47.0344,-67.7394,5326.0,294.4,America/Moncton,3,E3Z,1124904843
Armstrong,Armstrong,BC,British Columbia,50.4483,-119.1961,5323.0,927.7,America/Vancouver,3,V0E,1124201947
Cochrane,Cochrane,ON,Ontario,49.0667,-81.0167,5321.0,9.9,America/Toronto,3,P0L,1124296729
La Ronge,La Ronge,SK,Saskatchewan,55.1,-105.3,5317.0,163.9,America/Regina,3,S0J,1124763455
Marystown,Marystown,NL,Newfoundland and Labrador,47.1667,-55.1667,5316.0,85.8,America/St_Johns,3,A0E,1124408131
Sioux Lookout,Sioux Lookout,ON,Ontario,50.1,-91.9167,5272.0,13.9,America/Winnipeg,3,P0V P8T,1124804545
Didsbury,Didsbury,AB,Alberta,51.6658,-114.1311,5268.0,321.7,America/Edmonton,3,T0M,1124574154
Deer Lake,Deer Lake,NL,Newfoundland and Labrador,49.1744,-57.4269,5249.0,71.7,America/St_Johns,3,A8A,1124841556
Woodstock,Woodstock,NB,New Brunswick,46.1522,-67.5983,5228.0,356.7,America/Moncton,3,E7M,1124035280
Flin Flon,Flin Flon,SK,Saskatchewan,54.7667,-101.8778,5185.0,448.9,America/Winnipeg,3,S0P,1124500458
Brokenhead,Brokenhead,MB,Manitoba,50.1428,-96.5319,5122.0,6.8,America/Winnipeg,3,R0E,1124000321
Burton,Burton,NB,New Brunswick,45.8009,-66.4066,5119.0,19.8,America/Moncton,4,E2V,1124000544
Montréal-Ouest,Montreal-Ouest,QC,Quebec,45.4536,-73.6472,5115.0,3737.9,America/Toronto,2,H4X,1124001742
Spallumcheen,Spallumcheen,BC,British Columbia,50.4462,-119.2121,5106.0,20.0,America/Vancouver,4,V0E,1124001340
Westlock,Westlock,AB,Alberta,54.1522,-113.8511,5101.0,381.4,America/Edmonton,3,T7P,1124037311
Témiscouata-sur-le-Lac,Temiscouata-sur-le-Lac,QC,Quebec,47.68,-68.88,5096.0,23.3,America/Toronto,3,G0L,1124001776
Osoyoos,Osoyoos,BC,British Columbia,49.0325,-119.4661,5085.0,598.2,America/Vancouver,3,V0H,1124713973
Saint Marys,Saint Marys,NB,New Brunswick,46.1748,-66.4897,5084.0,6.8,America/Moncton,4,E6C E3A,1124000221
Hearst,Hearst,ON,Ontario,49.6869,-83.6544,5070.0,51.5,America/Toronto,3,P0L,1124376843
Metchosin,Metchosin,BC,British Columbia,48.3819,-123.5378,5067.0,72.8,America/Vancouver,3,V9C,1124625175
Wolfville,Wolfville,NS,Nova Scotia,45.0833,-64.3667,5057.0,649.8,America/Halifax,3,B4P,1124909280
