id,name,county,province,province_code,postcode_area,type,map_reference,latitude,longitude,census_division,area_code,time_zone
25518,Terra Nova,,Newfoundland and Labrador,NL,A0C,Town,002D09,48.50250,-54.21444,Division No.  7,709,America/St_Johns
25519,Terra Nova,Cape Breton,Nova Scotia,NS,B1K,Locality,011F15,45.84874,-60.52881,Cape Breton,902,America/Glace_Bay
25520,Terra Nova,Dufferin,Ontario,ON,L9V,Locality,041A01,44.20972,-80.11694,Dufferin,705,America/Toronto
25521,Terrasse-Bellevue,La Haute-Yamaska,Quebec,QC,J2H,Locality,031H07,45.42528,-72.70639,La Haute-Yamaska,450,America/Montreal
25522,Terrasse-Bigras,Deux-Montagnes,Quebec,QC,J0N,Locality,031G08,45.49611,-74.14278,Deux-Montagnes,450,America/Montreal
25523,Terrasse-Campbell,Argenteuil,Quebec,QC,J0V,Locality,031G10,45.64333,-74.74583,Argenteuil,819,America/Montreal
25524,Terrasse-Charbonneau,Longueuil,Quebec,QC,J4H,Locality,031H12,45.53333,-73.50000,Longueuil,450,America/Montreal
25525,Terrasse-de-Luxe,D'Autray,Quebec,QC,J0K,Locality,031I06,46.29944,-73.40000,D'Autray,450,America/Montreal
25526,Terrasse-des-Pins,La Rivière-du-Nord,Quebec,QC,J0R,Locality,031G16,45.86444,-74.06667,La Rivière-du-Nord,450,America/Montreal
25527,Terrasse-Dusseault,Portneuf,Quebec,QC,G3M,Locality,021L12,46.67750,-71.71972,Portneuf,581,America/Montreal
25528,Terrasse-Duvernay,Francheville,Quebec,QC,G8Y,Locality,031I07,46.34333,-72.60472,Francheville,819,America/Montreal
25529,Terrasse-Legault,Argenteuil,Quebec,QC,J0V,Locality,031G10,45.64167,-74.73972,Argenteuil,819,America/Montreal
25530,Terrasse-Préfontaine,La Vallée-du-Richelieu,Quebec,QC,J3G,Locality,031H11,45.60194,-73.24444,La Vallée-du-Richelieu,450,America/Montreal
25531,Terrasse-Raymond,Deux-Montagnes,Quebec,QC,J0N,Locality,031G08,45.48639,-74.12972,Deux-Montagnes,450,America/Montreal
25532,Terrasse-Robillard,Argenteuil,Quebec,QC,J0V,Locality,031G09,45.52694,-74.33167,Argenteuil,819,America/Montreal
25533,Terrasse-Saint-François,Drummond,Quebec,QC,J2A,Locality,031H16,45.84694,-72.38750,Drummond,450,America/Montreal
25534,Terrasse-Samson,Vaudreuil-Soulanges,Quebec,QC,J0P,Locality,031G01,45.21124,-74.31545,Vaudreuil-Soulanges,450,America/Montreal
25535,Terrasse-Vaudreuil,Vaudreuil-Soulanges,Quebec,QC,J7V,Village,031H05,45.39109,-73.98709,Vaudreuil-Soulanges,450,America/Montreal
25536,Terra View Heights,Peterborough,Ontario,ON,K9L,Locality,031D08,44.35389,-78.31556,Peterborough,705,America/Toronto
25537,Terre-à-Fer,Témiscouata,Quebec,QC,G0L,Locality,021N10,47.71806,-68.77778,Témiscouata,581,America/Montreal
25538,Terrebonne,Les Moulins,Quebec,QC,J6W,City,031H12,45.69154,-73.63430,Les Moulins,450,America/Montreal
25539,Terrenceville,,Newfoundland and Labrador,NL,A0E,Town,001M10,47.65996,-54.70693,Division No.  2,709,America/St_Johns
25540,Terre Noire,Inverness,Nova Scotia,NS,B0E,Locality,011K06,46.47670,-61.08219,Inverness,902,America/Halifax
25541,Terres-Rompues,Le Saguenay-et-son-Fjord,Quebec,QC,G7H,Locality,022D06,48.45354,-71.16044,Le Saguenay-et-son-Fjord,581,America/Montreal
25542,Territoire-Coburn,Beauce-Sartigan,Quebec,QC,G0M,Locality,021E16,45.93833,-70.40083,Beauce-Sartigan,581,America/Montreal
25543,Teslin,,Yukon,YT,Y0A,Village,105C02,60.16722,-132.72167,Yukon,250,America/Whitehorse
25544,Teslin Crossing,,Yukon,YT,Y0A,Locality,105E02,61.24180,-134.61653,Yukon,250,America/Whitehorse
25545,Teslin Lake,,Yukon,YT,Y0A,Locality,105C02,60.23306,-132.91389,Yukon,250,America/Whitehorse
25546,Teslin River,,Yukon,YT,Y0A,Locality,105C06,60.48333,-133.30694,Yukon,250,America/Whitehorse
25547,Tessier,,Saskatchewan,SK,S0L,Village,072O14,51.80707,-107.42738,Division No. 12,306,America/Regina
25548,Teston,York,Ontario,ON,L6A,Locality,030M13,43.86944,-79.54056,York,289,America/Toronto
25549,Tetachuk,Bulkley-Nechako,British Columbia,BC,V0J,Locality,093E08,53.26667,-126.06667,Bulkley-Nechako,250,America/Vancouver
25550,Tête-à-la-Baleine,Minganie – Le Golfe-du-Saint-Laurent,Quebec,QC,G0G,Locality,012J11,50.70278,-59.32306,Minganie – Le Golfe-du-Saint-Laurent,581,America/Blanc-Sablon
25551,Tête-de-l'Île,Pierre-De Saurel,Quebec,QC,J3P,Locality,031I03,46.07167,-73.06556,Pierre-De Saurel,450,America/Montreal
25552,Tête Jaune,Fraser-Fort George,British Columbia,BC,V0J,Locality,083D13,52.97833,-119.50556,Fraser-Fort George,250,America/Vancouver
25553,Tête Jaune Cache,Fraser-Fort George,British Columbia,BC,V0E,Locality,083D14,52.96667,-119.42917,Fraser-Fort George,250,America/Vancouver
25554,Tétreaultville,Montréal,Quebec,QC,H1L,Locality,031H12,45.60306,-73.52528,Montréal,514,America/Montreal
25555,Teulon,,Manitoba,MB,R0C,Town,062I06,50.38583,-97.26111,Division No. 14,204,America/Winnipeg
25556,Teviotdale,Wellington,Ontario,ON,N0G,Locality,040P15,43.84444,-80.75972,Wellington,519,America/Toronto
25557,Tewkesbury,La Jacques-Cartier,Quebec,QC,G3C,Locality,021M03,47.05028,-71.42944,La Jacques-Cartier,581,America/Montreal
25558,Texas,Roussillon,Quebec,QC,J5A,Locality,031H05,45.39917,-73.63306,Roussillon,450,America/Montreal
25559,Thackeray,,Saskatchewan,SK,S0K,Locality,073C10,52.52694,-108.76349,Division No. 13,306,America/Regina
25560,Thaddeus,Kenora,Ontario,ON,P0V,Locality,052K02,50.23128,-92.92509,Kenora,807,America/Winnipeg
25561,Thalberg,,Manitoba,MB,R0E,Locality,062I08,50.37028,-96.48972,Division No. 13,204,America/Winnipeg
25562,Thamesford,Oxford,Ontario,ON,N0M,Locality,040P02,43.05750,-81.00222,Oxford,519,America/Toronto
25563,Thames River Siding,Elgin,Ontario,ON,N0L,Locality,040I14,42.76233,-81.45442,Elgin,519,America/Toronto
25564,Thames Road,Huron,Ontario,ON,N0M,Locality,040P06,43.37028,-81.40972,Huron,519,America/Toronto
25565,Thamesville,Chatham-Kent,Ontario,ON,N0P,Locality,040I12,42.55527,-81.97733,Chatham-Kent,519,America/Toronto
25566,Thaxted,,Saskatchewan,SK,S0E,Locality,073A15,52.96131,-104.60554,Division No. 14,306,America/Regina
25567,The Annex,Toronto,Ontario,ON,M5R,Locality,030M11,43.67222,-79.40028,Toronto,416,America/Toronto
25568,The Back Settlement,Algoma,Ontario,ON,P0P,Locality,041J08,46.25005,-82.34153,Algoma,705,America/Toronto
25569,The Battery,,Newfoundland and Labrador,NL,A0A,Locality,001N11,47.54167,-53.20194,Division No.  1,709,America/St_Johns
25570,The Battery,,Newfoundland and Labrador,NL,A1A,Locality,001N10,47.56861,-52.69111,Division No.  1,709,America/St_Johns
25571,The Beaches,,Newfoundland and Labrador,NL,A0K,Locality,012H10,49.57472,-56.82750,Division No.  5,709,America/St_Johns
25572,The Beaches,Toronto,Ontario,ON,M4E,Locality,030M11,43.67361,-79.29556,Toronto,416,America/Toronto
25573,The Block,,Newfoundland and Labrador,NL,A0N,Locality,011O14,47.80111,-59.32722,Division No.  4,709,America/St_Johns
25574,The Bluff,Westmorland,New Brunswick,NB,E4P,Locality,021I02,46.23557,-64.50451,Westmorland,506,America/Moncton
25575,The Boyne,Stormont Dundas and Glengarry,Ontario,ON,K0C,Locality,031G03,45.11750,-75.28778,Stormont Dundas and Glengarry,613,America/Toronto
25576,The Broads,,Newfoundland and Labrador,NL,A0A,Locality,001N11,47.52000,-53.27750,Division No.  1,709,America/St_Johns
25577,The Bush,Leeds and Grenville,Ontario,ON,K0G,Locality,031C09,44.57286,-76.20656,Leeds and Grenville,613,America/Toronto
25578,The Cache,Timiskaming,Ontario,ON,P0K,Locality,042A05,48.26118,-81.55956,Timiskaming,705,America/Toronto
25579,The Cedars,Kings,New Brunswick,NB,E5N,Locality,021G08,45.47725,-66.07930,Kings,506,America/Moncton
25580,The Corners,,Manitoba,MB,R0M,Locality,062K11,50.59389,-101.38694,Division No. 15,204,America/Winnipeg
25581,The Cottages,Haldimand-Norfolk,Ontario,ON,N0E,Locality,040I09,42.59583,-80.31306,Haldimand-Norfolk,519,America/Toronto
25582,The Crutch,Les Jardins-de-Napierville,Quebec,QC,J0L,Locality,031H04,45.11861,-73.56833,Les Jardins-de-Napierville,450,America/Montreal
25583,The Delta,Hamilton,Ontario,ON,L8K,Locality,030M04,43.23833,-79.81917,Hamilton,289,America/Toronto
25584,The Depot,Parry Sound,Ontario,ON,P0H,Locality,041H16,45.99429,-80.10314,Parry Sound,705,America/Toronto
25585,Thedford,Lambton,Ontario,ON,N0M,Locality,040P04,43.16806,-81.84694,Lambton,519,America/Toronto
25586,The District of Lakeland No. 521,,Saskatchewan,SK,S0J,Municipality,073H12,53.64083,-105.90434,Division No. 15,306,America/Regina
25587,The Dock,,Newfoundland and Labrador,NL,A0A,Locality,001N11,47.57306,-53.25306,Division No.  1,709,America/St_Johns
25588,The Donovan,Greater Sudbury / Grand Sudbury,Ontario,ON,P3C,Locality,041I06,46.49861,-81.00306,Greater Sudbury / Grand Sudbury,705,America/Toronto
25589,The Droke,,Newfoundland and Labrador,NL,A0E,Locality,001M03,47.06278,-55.17306,Division No.  2,709,America/St_Johns
25590,The Elbow,,Manitoba,MB,R0B,Locality,063I05,54.41083,-97.68111,Division No. 22,204,America/Winnipeg
25591,The Falls,Colchester,Nova Scotia,NS,B0K,Locality,011E11,45.63741,-63.22193,Colchester,902,America/Halifax
25592,The Flats,,Newfoundland and Labrador,NL,A0B,Locality,001K13,46.79694,-53.64361,Division No.  1,709,America/St_Johns
25593,The Fort,Les Jardins-de-Napierville,Quebec,QC,J0L,Locality,031H04,45.04556,-73.68694,Les Jardins-de-Napierville,450,America/Montreal
25594,The Front,,Newfoundland and Labrador,NL,A0A,Locality,001N10,47.63361,-52.94028,Division No.  1,709,America/St_Johns
25595,The Gib,Minganie – Le Golfe-du-Saint-Laurent,Quebec,QC,G0G,Locality,012P13,51.80917,-57.55472,Minganie – Le Golfe-du-Saint-Laurent,581,America/Montreal
25596,The Glades,Westmorland,New Brunswick,NB,E4J,Locality,021H14,45.94894,-65.07539,Westmorland,506,America/Moncton
25597,The Glebe,Ottawa,Ontario,ON,K1S,Locality,031G05,45.40278,-75.69139,Ottawa,613,America/Toronto
25598,The Glen,Renfrew,Ontario,ON,K0J,Locality,031F10,45.74750,-76.87167,Renfrew,613,America/Toronto
25599,The Golden Mile,Toronto,Ontario,ON,M1L,Locality,030M11,43.72722,-79.28833,Toronto,416,America/Toronto
25600,The Gore,Oxford,Ontario,ON,N0J,Locality,040I15,42.99389,-80.55444,Oxford,519,America/Toronto
25601,The Gore,Middlesex,Ontario,ON,N5W,Locality,040I14,42.98083,-81.16556,Middlesex,519,America/Toronto
25602,The Gorge,Westmorland,New Brunswick,NB,E1G,Locality,021I02,46.15936,-64.88054,Westmorland,506,America/Moncton
25603,The Grange,Peel,Ontario,ON,L7K,Locality,030M13,43.78101,-79.98406,Peel,289,America/Toronto
25604,The Grant,Kings,New Brunswick,NB,E5T,Locality,021H12,45.67088,-65.88870,Kings,506,America/Moncton
25605,The Gravels,,Newfoundland and Labrador,NL,A0N,Locality,012B10,48.55000,-58.73250,Division No.  4,709,America/St_Johns
25606,The Green,,Newfoundland and Labrador,NL,A0A,Locality,001N10,47.64722,-52.95278,Division No.  1,709,America/St_Johns
25607,The Grove,Middlesex,Ontario,ON,N5V,Locality,040P03,43.02861,-81.18778,Middlesex,519,America/Toronto
25608,The Groves,,Newfoundland and Labrador,NL,A0A,Locality,001N02,47.03556,-52.89417,Division No.  1,709,America/St_Johns
25609,The Gully,Northumberland,Ontario,ON,K9A,Locality,031D01,44.00194,-78.06944,Northumberland,289,America/Toronto
25610,The Gully,Minganie – Le Golfe-du-Saint-Laurent,Quebec,QC,G0G,Locality,012P12,51.56833,-57.72889,Minganie – Le Golfe-du-Saint-Laurent,581,America/Blanc-Sablon
25611,The Halfway,Annapolis,Nova Scotia,NS,B0S,Locality,021A10,44.58717,-64.97880,Annapolis,902,America/Halifax
25612,The Hawk,Shelburne,Nova Scotia,NS,B0W,Locality,020P05,43.41777,-65.62102,Shelburne,902,America/Halifax
25613,The Highlands,,Saskatchewan,SK,S6H,Locality,072I05,50.40003,-105.60058,Division No.  7,306,America/Regina
25614,The Houser,,Newfoundland and Labrador,NL,A0A,Locality,001N07,47.26028,-52.77667,Division No.  1,709,America/St_Johns
25615,The Island,Leeds and Grenville,Ontario,ON,K0E,Locality,031B13,44.85528,-75.57889,Leeds and Grenville,613,America/Toronto
25616,The Junction,Toronto,Ontario,ON,M6P,Locality,030M11,43.66611,-79.46583,Toronto,416,America/Toronto
25617,The Junction,Oxford,Ontario,ON,N0J,Locality,040I15,42.97173,-80.60538,Oxford,519,America/Toronto
25618,The Keys,,Newfoundland and Labrador,NL,A0A,Locality,001N07,47.30417,-52.81278,Division No.  1,709,America/St_Johns
25619,The Kingsway,Toronto,Ontario,ON,M8X,Locality,030M12,43.65111,-79.51222,Toronto,416,America/Toronto
25620,The Ledge,Charlotte,New Brunswick,NB,E3L,Locality,021G03,45.17578,-67.20434,Charlotte,506,America/Moncton
25621,The Light,Minganie – Le Golfe-du-Saint-Laurent,Quebec,QC,G0G,Locality,012P06,51.37361,-57.19222,Minganie – Le Golfe-du-Saint-Laurent,709,America/Blanc-Sablon
25622,The Lodge,Lunenburg,Nova Scotia,NS,B0J,Locality,021A09,44.55665,-64.03212,Lunenburg,902,America/Halifax
25623,The Lookoff,Kings,Nova Scotia,NS,B0P,Locality,021H01,45.19961,-64.40795,Kings,902,America/Halifax
25624,The Lots,Northumberland,New Brunswick,NB,E9E,Locality,021I12,46.68409,-65.84475,Northumberland,506,America/Moncton
25625,The Maples,,Manitoba,MB,R2P,Locality,062H14,49.95389,-97.17361,Division No. 11,204,America/Winnipeg
25626,The Maples,Dufferin,Ontario,ON,L9W,Locality,040P16,43.88613,-80.16235,Dufferin,705,America/Toronto
25627,The Meadows,Pictou,Nova Scotia,NS,B2H,Locality,011E10,45.59921,-62.65740,Pictou,902,America/Halifax
25628,The Meadows,Essex,Ontario,ON,N0R,Locality,040J03,42.02639,-83.00556,Essex,519,America/Toronto
25629,The Medway,Annapolis,Nova Scotia,NS,B0S,Locality,021A11,44.55382,-65.15981,Annapolis,902,America/Halifax
25630,The Mines,,Newfoundland and Labrador,NL,A0B,Locality,001N12,47.58722,-53.69583,Division No.  1,709,America/St_Johns
25631,The Motion,,Newfoundland and Labrador,NL,A0A,Locality,001N11,47.53167,-53.29583,Division No.  1,709,America/St_Johns
25632,The Narrows,,Manitoba,MB,R0C,Locality,062O02,51.08222,-98.77389,Division No. 18,204,America/Winnipeg
25633,The Ninth,Stormont Dundas and Glengarry,Ontario,ON,K0C,Locality,031G03,45.15278,-75.26444,Stormont Dundas and Glengarry,613,America/Toronto
25634,The Northside,,Newfoundland and Labrador,NL,A0G,Locality,002C12,48.66944,-53.75806,Division No.  7,709,America/St_Johns
25635,Theodore,,Saskatchewan,SK,S0A,Village,062M07,51.42466,-102.92256,Division No.  9,306,America/Regina
25636,Theodosia Arm,Powell River,British Columbia,BC,V0N,Locality,092K02,50.06667,-124.70000,Powell River,250,America/Vancouver
25637,The Outlet,Prince Edward,Ontario,ON,K0K,Locality,030N14,43.89583,-77.22194,Prince Edward,613,America/Toronto
25638,The Pas,,Manitoba,MB,R9A,Town,063F14,53.82500,-101.25333,Division No. 21,204,America/Winnipeg
25639,The Pas Airport,,Manitoba,MB,R9A,Locality,063F14,53.97611,-101.08500,Division No. 21,204,America/Winnipeg
25640,The Pines,Lennox and Addington,Ontario,ON,K0H,Locality,031C03,44.11817,-77.00719,Lennox and Addington,613,America/Toronto
25641,The Points West Bay,Richmond,Nova Scotia,NS,B0E,Locality,011F15,45.74906,-60.98595,Richmond,902,America/Halifax
25642,The P Patch,Algoma,Ontario,ON,P6B,Locality,041K09,46.52667,-84.30194,Algoma,705,America/Toronto
25643,The Range,Queens,New Brunswick,NB,E4A,Locality,021I04,46.06634,-65.90095,Queens,506,America/Moncton
25644,Theresa,Thunder Bay,Ontario,ON,P0T,Locality,042E10,49.69872,-86.52006,Thunder Bay,705,America/Toronto
25645,Thériault,Gloucester,New Brunswick,NB,E1W,Locality,021P11,47.73074,-65.05742,Gloucester,506,America/Moncton
25646,The Ridge,Queens,New Brunswick,NB,E4A,Locality,021I04,46.16842,-65.82368,Queens,506,America/Moncton
25647,The Ridge,Hastings,Ontario,ON,K0L,Locality,031C13,44.79845,-77.82375,Hastings,613,America/Toronto
25648,Therien,,Alberta,AB,T0A,Locality,073L03,54.23944,-111.25667,Division No. 12,587,America/Edmonton
25649,The Rock,,Manitoba,MB,R0E,Locality,062I09,50.57167,-96.23056,Division No.  1,204,America/Winnipeg
25650,The Rollway,Prescott and Russell,Ontario,ON,K0B,Locality,031G11,45.54066,-75.06980,Prescott and Russell,613,America/Toronto
25651,The Sixth,Stormont Dundas and Glengarry,Ontario,ON,K0C,Locality,031G03,45.00182,-75.26817,Stormont Dundas and Glengarry,613,America/Toronto
25652,The Slash,Manitoulin,Ontario,ON,P0P,Locality,041H12,45.62401,-81.96117,Manitoulin,705,America/Toronto
25653,Thessalon,Algoma,Ontario,ON,P0R,Town,041J05,46.26083,-83.55306,Algoma,705,America/Toronto
25654,The Tannery,Lanark,Ontario,ON,K0A,Locality,031F01,45.21517,-76.22249,Lanark,613,America/Toronto
25655,Thetford Mines,Les Appalaches,Quebec,QC,G6G,City,021L03,46.08891,-71.30195,Les Appalaches,581,America/Montreal
25656,Thetford-Partie-Sud,Les Appalaches,Quebec,QC,G6G,Locality,021L03,46.11528,-71.26528,Les Appalaches,581,America/Montreal
25657,The Thicket,,Newfoundland and Labrador,NL,A0A,Locality,001N11,47.65083,-53.25889,Division No.  1,709,America/St_Johns
25658,The Tickles,,Newfoundland and Labrador,NL,A0E,Locality,001M09,47.51806,-54.07778,Division No.  2,709,America/St_Johns
25659,Thetis Island,Cowichan Valley,British Columbia,BC,V0R,Locality,092B13,48.98333,-123.68333,Cowichan Valley,250,America/Vancouver
25660,The Two Rivers,,Saskatchewan,SK,S0J,Locality,063M14,55.75223,-103.17152,Division No. 18,306,America/Regina
25661,The Willows,Northumberland,New Brunswick,NB,E1V,Locality,021P03,47.11286,-65.27784,Northumberland,506,America/Moncton
25662,Thibaudeau,,Manitoba,MB,R0B,Locality,054E01,57.07389,-94.14472,Division No. 23,204,America/Winnipeg
25663,Thibault,Restigouche,New Brunswick,NB,E8B,Locality,021O11,47.60876,-67.34392,Restigouche,506,America/Moncton
25664,Thibeault Terrace,Nipissing,Ontario,ON,P1B,Locality,031L06,46.33667,-79.47194,Nipissing,705,America/Toronto
25665,Thibeauville,Richmond,Nova Scotia,NS,B0E,Locality,011F10,45.65172,-60.99471,Richmond,902,America/Halifax
25666,Thicket Portage,,Manitoba,MB,R0B,Locality,063P05,55.31806,-97.68694,Division No. 22,204,America/Winnipeg
25667,Third Lake,Halifax,Nova Scotia,NS,B0J,Locality,011D15,44.85155,-62.67416,Halifax,902,America/Halifax
25668,Thistle,Grey,Ontario,ON,N0G,Locality,041A02,44.14639,-80.70417,Grey,519,America/Toronto
25669,Thistle Creek,,Yukon,YT,Y0B,Locality,115O03,63.06989,-139.47873,Yukon,907,America/Whitehorse
25670,Thistletown,Toronto,Ontario,ON,M9V,Locality,030M12,43.73444,-79.55750,Toronto,416,America/Toronto
25671,Thivierge,Bonaventure,Quebec,QC,G0C,Locality,022A03,48.08806,-65.48667,Bonaventure,581,America/Montreal
25672,Thode,,Saskatchewan,SK,S7C,Village,072O16,51.78876,-106.44276,Division No. 11,306,America/Regina
25673,Thomas,Mékinac,Quebec,QC,G0X,Locality,031I16,46.80528,-72.46500,Mékinac,819,America/Montreal
25674,Thomas Brook,Annapolis,Nova Scotia,NS,B0S,Locality,021A12,44.52874,-65.57337,Annapolis,902,America/Halifax
25675,Thomasburg,Hastings,Ontario,ON,K0K,Locality,031C06,44.39183,-77.34774,Hastings,613,America/Toronto
25676,Thomaston Corner,York,New Brunswick,NB,E6K,Locality,021G11,45.65522,-67.13198,York,506,America/Moncton
25677,Thomasville,Shelburne,Nova Scotia,NS,B0W,Locality,020P11,43.56662,-65.45297,Shelburne,902,America/Halifax
25678,Thom Bay,Kitikmeot,Nunavut,NU,X0B,Locality,057F01,70.15000,-92.40000,Kitikmeot,204,America/Cambridge_Bay
25679,Thompson,Thompson-Nicola,British Columbia,BC,V0K,Locality,092I06,50.26667,-121.40000,Thompson-Nicola,250,America/Vancouver
25680,Thompson,Greater Vancouver,British Columbia,BC,V7C,Locality,092G03,49.16667,-123.16667,Greater Vancouver,778,America/Vancouver
25681,Thompson,,Manitoba,MB,R8N,City,063P12,55.74333,-97.85528,Division No. 22,204,America/Winnipeg
25682,Thompson Corner,Kings,New Brunswick,NB,E5P,Locality,021H13,45.82515,-65.68126,Kings,506,America/Moncton
25683,Thompson Hill,Renfrew,Ontario,ON,K7V,Locality,031F07,45.45806,-76.66750,Renfrew,613,America/Toronto
25684,Thompson Junction,,Manitoba,MB,R0B,Locality,063P06,55.45972,-97.39833,Division No. 22,204,America/Winnipeg
25685,Thompson Landing,,Northwest Territories,NT,X1A,Locality,075L15,62.91684,-110.66767,Region 6,867,America/Yellowknife
25686,Thompson Sound,Mount Waddington,British Columbia,BC,V0P,Locality,092L16,50.80000,-126.01667,Mount Waddington,250,America/Vancouver
25687,Thompsonville,Simcoe,Ontario,ON,L9R,Locality,031D04,44.13333,-79.83778,Simcoe,705,America/Toronto
25688,Thomson Station,Cumberland,Nova Scotia,NS,B0M,Locality,011E12,45.68342,-63.79679,Cumberland,902,America/Halifax
25689,Thomstown,Northumberland,Ontario,ON,L0A,Locality,031D01,44.08024,-78.40399,Northumberland,289,America/Toronto
25690,Thorah Beach,York,Ontario,ON,L0E,Locality,031D06,44.35288,-79.19656,York,289,America/Toronto
25691,Thorah Island,Durham,Ontario,ON,L0K,Locality,031D06,44.44320,-79.21552,Durham,289,America/Toronto
25692,Thorburn,Pictou,Nova Scotia,NS,B0K,Locality,011E10,45.56470,-62.54719,Pictou,902,America/Halifax
25693,Thorburn Lake,,Newfoundland and Labrador,NL,A0C,Locality,002D08,48.26750,-54.15750,Division No.  7,709,America/St_Johns
25694,Thorburn Road,,Newfoundland and Labrador,NL,A1M,Locality,001N10,47.58167,-52.83972,Division No.  1,709,America/St_Johns
25695,Thordarson,,Alberta,AB,T0H,Locality,083E14,53.97333,-119.00000,Division No. 18,587,America/Edmonton
25696,Thorel House,Muskoka,Ontario,ON,P0B,Locality,031E04,45.17111,-79.61972,Muskoka,705,America/Toronto
25697,Thorhild,,Alberta,AB,T0A,Hamlet,083I03,54.15889,-113.12528,Division No. 13,587,America/Edmonton
25698,Thor Lake,Sudbury,Ontario,ON,P0M,Locality,041P03,47.14516,-81.30546,Sudbury,705,America/Toronto
25699,Thornbury,Grey,Ontario,ON,N0H,Locality,041A09,44.55972,-80.45500,Grey,519,America/Toronto
25700,Thornby,Pontiac,Quebec,QC,J0X,Locality,031F16,45.78528,-76.48806,Pontiac,819,America/Montreal
25701,Thorncliff,Nipissing,Ontario,ON,P1B,Locality,031L06,46.27528,-79.37250,Nipissing,705,America/Toronto
25702,Thorncliffe,,Alberta,AB,T2K,Locality,082O01,51.10278,-114.06667,Division No.  6,587,America/Edmonton
25703,Thorncliffe,,Alberta,AB,T5T,Locality,083H12,53.51528,-113.62361,Division No. 11,587,America/Edmonton
25704,Thorncliffe,Toronto,Ontario,ON,M4H,Locality,030M11,43.70305,-79.34512,Toronto,416,America/Toronto
25705,Thorncliffe,Chatham-Kent,Ontario,ON,N0P,Locality,040J09,42.55314,-82.12073,Chatham-Kent,519,America/Toronto
25706,Thorncrest Village,Toronto,Ontario,ON,M9A,Locality,030M12,43.66733,-79.53880,Toronto,416,America/Toronto
25707,Thorndale,Middlesex,Ontario,ON,N0M,Locality,040P03,43.10361,-81.14306,Middlesex,519,America/Toronto
25708,Thorndale,Montréal,Quebec,QC,H9H,Locality,031H05,45.47000,-73.85972,Montréal,514,America/Montreal
25709,Thorne,Nipissing,Ontario,ON,P0H,Locality,031L11,46.70083,-79.10250,Nipissing,705,America/Toronto
25710,Thorne,Pontiac,Quebec,QC,J0X,Village,031F16,45.76124,-76.38589,Pontiac,819,America/Montreal
25711,Thorne Centre,Pontiac,Quebec,QC,J0X,Locality,031F09,45.74056,-76.38972,Pontiac,819,America/Montreal
25712,Thorne Lake,Pontiac,Quebec,QC,J0X,Locality,031F09,45.68750,-76.36694,Pontiac,819,America/Montreal
25713,Thornetown,Queens,New Brunswick,NB,E4C,Locality,021H13,45.86124,-65.85350,Queens,506,America/Moncton
25714,Thornhill,Kitimat-Stikine,British Columbia,BC,V8G,Locality,103I10,54.51667,-128.53333,Kitimat-Stikine,250,America/Vancouver
25715,Thornhill,,Manitoba,MB,R6M,Locality,062G01,49.20028,-98.23167,Division No.  3,204,America/Winnipeg
25716,Thornhill,Halifax,Nova Scotia,NS,B3R,Locality,011D12,44.60347,-63.61147,Halifax,902,America/Halifax
25717,Thornhill,York,Ontario,ON,L4J,Locality,030M14,43.81687,-79.42680,York,289,America/Toronto
25718,Thornlea,York,Ontario,ON,L3T,Locality,030M14,43.82528,-79.40306,York,289,America/Toronto
25719,Thornloe,Timiskaming,Ontario,ON,P0J,Village,031M12,47.66784,-79.76177,Timiskaming,705,America/Toronto
25720,Thornton,Simcoe,Ontario,ON,L0L,Locality,031D05,44.27053,-79.72294,Simcoe,705,America/Toronto
25721,Thornton Yard,Greater Vancouver,British Columbia,BC,V3R,Locality,092G02,49.21667,-122.83333,Greater Vancouver,778,America/Vancouver
25722,Thornyhurst,Lambton,Ontario,ON,N0P,Locality,040J09,42.67972,-82.43056,Lambton,519,America/Toronto
25723,Thorold,Niagara,Ontario,ON,L0S,City,030M03,43.07222,-79.22333,Niagara,289,America/Toronto
25724,Thorold Park,Niagara,Ontario,ON,L2V,Locality,030M03,43.11323,-79.20595,Niagara,289,America/Toronto
25725,Thorold South,Niagara,Ontario,ON,L2V,Locality,030M03,43.10159,-79.19540,Niagara,289,America/Toronto
25726,Thoroughfare,,Newfoundland and Labrador,NL,A5A,Locality,002C04,48.19833,-53.54861,Division No.  7,709,America/St_Johns
25727,Thorpe,Lennox and Addington,Ontario,ON,K0H,Locality,031C07,44.30028,-76.77139,Lennox and Addington,613,America/Toronto
25728,Thorsby,,Alberta,AB,T0C,Town,083G01,53.22694,-114.04806,Division No. 11,587,America/Edmonton
25729,Thorton Woods,Durham,Ontario,ON,L1J,Locality,030M15,43.90349,-78.89142,Durham,289,America/Toronto
25730,Thrasher,,Saskatchewan,SK,S0L,Locality,072N08,51.37037,-107.99601,Division No. 12,306,America/Regina
25731,Thrasher's Corners,Hastings,Ontario,ON,K0K,Locality,031C06,44.26956,-77.36494,Hastings,613,America/Toronto
25732,Three Arms,,Newfoundland and Labrador,NL,A0J,Locality,002E12,49.68444,-55.90278,Division No.  8,709,America/St_Johns
25733,Three Bridges,Middlesex,Ontario,ON,N0M,Locality,040P03,43.04173,-81.05483,Middlesex,519,America/Toronto
25734,Three Brooks,Victoria,New Brunswick,NB,E7G,Locality,021J14,46.87391,-67.44565,Victoria,506,America/Moncton
